Average kilometers cycled annually per person in the Netherlands 1991-2022;
Average number of kilometers cycled anually per person in the Netherlands from 1991 to 2022;
;
1991;886
1992;879
1993;853
1994;873
1995;931
1996;872
1997;942
1998;872
1999;876
2000;865
2001;854
2002;803
2003;854
2004;883
2005;916
2006;902
2007;909
2008;876
2009;956
2010;865
2011;897
2012;882
2013;902
2014;970
2015;888
2016;861
2017;844
2018;1.155
2019;1.098
2020;955
2021;979
2022;1.108
