Regions;;Noord-Nederland (LD);;;Noord-Nederland (LD);;;Oost-Nederland (LD);;;Oost-Nederland (LD);;;West-Nederland (LD);;;West-Nederland (LD);;;Zuid-Nederland (LD);;;Zuid-Nederland (LD);;;;;
Topic;;Municipal budget in million of euros|Expenditures;;;Municipal budget in euro/inhabitant|Expenditures;;;Municipal budget in million of euros|Expenditures;;;Municipal budget in euro/inhabitant|Expenditures;;;Municipal budget in million of euros|Expenditures;;;Municipal budget in euro/inhabitant|Expenditures;;;Municipal budget in million of euros|Expenditures;;;Municipal budget in euro/inhabitant|Expenditures;;;;;
Municipal tasks;;million euros;;;euro/inhabitant;;;million euros;;;euro/inhabitant;;;million euros;;;euro/inhabitant;;;million euros;;;euro/inhabitant;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total traffic, transportation and wate..;;438;;;248;;;782;;;206;;;2804;;;326;;;836;;;221;;;;;5423
Land exploitation (non-business areas);;127;;;72;;;710;;;187;;;1740;;;202;;;556;;;147;;;;;3614
;;;;;320;0;0;1492;0;0;393;0;0;4544;0;0;528;0;0;1392;0;0;368;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regions;Expnditures;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noord-Nederland (LD);320;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oost-Nederland (LD);393;;;;;;;;;;;;;;;;;;;;;;;;;;;
West-Nederland (LD);528;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zuid-Nederland (LD);368;;;;;;;;;;;;;;;;;;;;;;;;;;;
