"Government expenditure and consumption; functions, transactions, sectors"
""
"";""
"";"Topic";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption";"Government expenditure and consumption"
"";"Institutional sectors";"General government";"General government";"General government";"General government";"General government";"General government";"General government";"General government";"General government";"General government";"General government";"General government"
"";"Periods";"1995";"2000";"2005";"2010";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022*"
"Transactions";"Functions of general government";"million euros";"million euros";"million euros";"million euros";"million euros";"million euros";"million euros";"million euros";"million euros";"million euros";"million euros";"million euros"
"D92 Investment grants";"Total";"1800";"2042";"1555";"1687";"1739";"1058";"560";"752";"1662";"1079";"1580";"1837"
"D92 Investment grants";"1. General public services";"245";"278";"121";"109";"86";"61";"7";"16";"16";"12";"13";"9"
"D92 Investment grants";"1.7 Public debt transactions";"";"";"";"";"";"";"";"";"";"";"";""
"D92 Investment grants";"2. Defence";"0";"30";"50";"32";"0";"33";"20";"26";"24";"29";"30";"599"
"D92 Investment grants";"3. Public order and safety";"3";"4";"2";"0";"2";"1";"0";"2";"4";"3";"7";"9"
"D92 Investment grants";"4. Economic affairs";"1017";"1053";"1020";"1095";"1102";"630";"223";"250";"1136";"325";"805";"164"
"D92 Investment grants";"5. Environmental protection";"132";"203";"75";"122";"121";"70";"109";"134";"114";"111";"86";"97"
"D92 Investment grants";"6 Housing and community amenities";"181";"171";"63";"101";"60";"18";"5";"151";"172";"275";"268";"363"
"D92 Investment grants";"7. Health";"5";"3";"2";"2";"214";"142";"125";"2";"2";"2";"103";"2"
"D92 Investment grants";"8. Recreation, culture and religion";"115";"180";"166";"188";"130";"93";"71";"148";"166";"290";"244";"134"
"D92 Investment grants";"9. Education";"90";"101";"45";"27";"21";"8";"0";"21";"24";"28";"20";"25"
"D92 Investment grants";"10. Social protection";"12";"19";"11";"11";"3";"2";"0";"2";"4";"4";"4";"435"
"D92 Investment grants";"10.1 Sickness and disability";"6";"10";"6";"0";"0";"0";"0";"1";"2";"2";"2";"1"
"D92 Investment grants";"10.2 Old age";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D92 Investment grants";"10.5 Unemployment";"4";"6";"4";"0";"2";"1";"0";"0";"0";"0";"1";"1"
"Source: CBS"
