"Mobility; per trip, purposes of travel, trip characteristics and regions"
"Population: Population 6 years or older"
"Margins: Value"
"";""
"";"Topic";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average distance travelled per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip";"Average travel time per trip"
"";"Region characteristics";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"Utrecht (PV)";"Utrecht (PV)";"Utrecht (PV)";"Utrecht (PV)";"Zuid-Holland (PV)";"Zuid-Holland (PV)";"Zuid-Holland (PV)";"Zuid-Holland (PV)";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"Utrecht (PV)";"Utrecht (PV)";"Utrecht (PV)";"Utrecht (PV)";"Zuid-Holland (PV)";"Zuid-Holland (PV)";"Zuid-Holland (PV)";"Zuid-Holland (PV)"
"";"Periods";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022"
"Travel purposes";"Trip characteristics";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"minutes";"minutes";"minutes";"minutes";"minutes";"minutes";"minutes";"minutes";"minutes";"minutes";"minutes";"minutes"
"Total";"Total";"13.29";"10.58";"10.87";"11.20";"14.28";"10.96";"11.06";"11.34";"12.51";"10.21";"10.30";"10.36";"27.46";"26.34";"27.87";"26.96";"27.33";"26.51";"27.75";"26.60";"28.40";"27.84";"29.02";"27.46"
"Total";"Distance: 0 to <1 km";"0.47";"0.46";"0.46";"0.48";"0.46";"0.45";"0.46";"0.48";"0.47";"0.46";"0.46";"0.48";"6.41";"6.42";"6.70";"6.66";"6.06";"6.72";"6.25";"6.45";"6.68";"7.11";"7.13";"6.93"
"Total";"Distance: 1 to 3,6 km";"1.96";"1.94";"1.95";"1.95";"1.92";"1.92";"1.92";"1.94";"1.95";"1.94";"1.94";"1.96";"13.38";"14.72";"15.60";"15.16";"12.82";"14.82";"15.77";"14.71";"14.47";"15.95";"16.84";"15.91"
"Total";"Distance: 3,7 to 7,4 km";"5.23";"5.20";"5.22";"5.21";"5.21";"5.19";"5.20";"5.21";"5.20";"5.21";"5.21";"5.20";"24.57";"27.72";"29.95";"27.19";"25.33";"29.90";"30.30";"28.39";"26.00";"29.50";"31.40";"28.65"
"Total";"Distance: 7,5 to 14 km";"10.29";"10.24";"10.25";"10.29";"10.28";"10.23";"10.28";"10.36";"10.27";"10.31";"10.32";"10.36";"31.91";"34.98";"36.86";"33.85";"32.18";"37.01";"38.03";"34.92";"34.25";"39.01";"40.94";"36.97"
"Total";"Distance: 15 to 29 km";"20.41";"20.24";"20.34";"20.35";"20.46";"20.16";"20.34";"20.13";"20.19";"20.14";"20.27";"20.27";"41.65";"43.33";"44.37";"43.21";"40.72";"42.59";"44.86";"40.60";"44.93";"47.39";"47.39";"46.78"
"Total";"Distance: 30 to 49 km";"37.44";"37.14";"36.92";"37.33";"37.96";"38.10";"37.54";"38.53";"37.19";"36.72";"37.26";"37.23";"57.13";"58.09";"58.47";"57.56";"52.10";"57.82";"58.17";"57.77";"59.66";"61.52";"63.09";"58.88"
"Total";"Distance: 50 to 74 km";"59.74";"59.81";"59.68";"59.79";"60.41";"59.94";"59.28";"60.07";"59.70";"59.78";"60.18";"60.16";"71.82";"75.18";"74.63";"74.22";"70.98";"66.81";"70.48";"71.69";"72.01";"78.23";"76.23";"73.76"
"Total";"Distance: 75 km or more";"119.38";"117.73";"120.90";"118.77";"108.28";"111.58";"111.76";"106.21";"121.84";"118.56";"123.31";"117.43";"112.54";"110.64";"120.05";"117.01";"98.61";"104.80";"108.96";"107.62";"117.41";"115.16";"127.11";"119.24"
"Total";"Sunday";"18.33";"13.74";"14.35";"14.63";"20.22";"14.11";"15.73";"14.98";"18.27";"12.69";"13.83";"14.84";"36.66";"36.00";"38.15";"35.53";"34.98";"35.63";"38.19";"35.17";"35.93";"36.88";"37.69";"36.21"
"Total";"Monday";"12.41";"9.76";"9.97";"10.41";"13.43";"10.26";"9.50";"11.23";"11.41";"9.39";"9.46";"9.42";"25.64";"25.07";"26.51";"25.13";"26.71";"25.38";"25.48";"25.06";"26.11";"25.25";"28.40";"26.06"
"Total";"Tuesday";"13.12";"9.92";"10.22";"10.55";"15.92";"11.02";"10.48";"10.68";"12.67";"8.99";"9.19";"9.10";"26.85";"24.47";"25.91";"25.79";"28.10";"25.84";"25.58";"25.11";"28.44";"25.85";"27.14";"25.30"
"Total";"Wednesday";"12.23";"10.72";"10.47";"10.52";"13.96";"10.07";"10.22";"10.22";"12.00";"10.23";"9.40";"9.51";"25.85";"25.92";"26.44";"26.08";"26.50";"25.10";"25.75";"24.99";"27.41";"26.95";"27.50";"25.81"
"Total";"Thursday";"12.96";"10.15";"10.27";"11.30";"13.07";"10.91";"10.54";"10.49";"10.93";"9.73";"9.36";"10.13";"26.27";"24.54";"26.04";"26.14";"25.64";"25.60";"26.52";"25.69";"26.70";"25.87";"27.83";"26.52"
"Total";"Friday";"12.46";"10.54";"10.60";"10.50";"11.78";"9.92";"10.75";"10.78";"11.73";"10.78";"10.53";"9.54";"26.05";"24.91";"25.68";"25.01";"24.56";"24.45";"26.62";"25.17";"27.61";"27.47";"27.20";"25.87"
"Total";"Saturday";"13.12";"10.22";"11.26";"11.57";"13.82";"11.57";"11.48";"12.22";"12.33";"10.47";"11.35";"11.43";"27.88";"26.82";"29.70";"27.65";"27.72";"26.92";"29.03";"27.79";"28.91";"29.85";"30.18";"29.35"
"Travel to/from work, (non)-daily commute";"Total";"19.26";"16.66";"16.54";"17.61";"22.17";"18.71";"18.57";"18.84";"17.93";"16.07";"15.07";"16.22";"29.92";"26.13";"25.88";"27.96";"32.78";"28.16";"28.29";"29.61";"32.27";"27.93";"27.65";"30.10"
"Travel to/from work, (non)-daily commute";"Distance: 0 to <1 km";"0.49";"0.47";"0.49";"0.48";".";"0.47";"0.51";"0.48";"0.47";"0.48";"0.49";"0.49";"5.66";"5.30";"5.22";"5.47";".";"4.87";"5.33";"5.60";"5.87";"5.92";"5.63";"6.18"
"Travel to/from work, (non)-daily commute";"Distance: 1 to 3,6 km";"2.11";"2.10";"2.12";"2.11";"2.13";"2.06";"2.10";"2.05";"2.12";"2.14";"2.14";"2.16";"11.44";"11.21";"11.72";"11.99";"11.37";"10.82";"11.44";"12.52";"12.08";"12.08";"12.52";"13.38"
"Travel to/from work, (non)-daily commute";"Distance: 3,7 to 7,4 km";"5.34";"5.36";"5.35";"5.32";"5.36";"5.29";"5.36";"5.42";"5.34";"5.38";"5.37";"5.31";"19.74";"18.35";"18.53";"18.95";"19.70";"20.36";"20.07";"20.31";"21.45";"20.43";"20.73";"21.25"
"Travel to/from work, (non)-daily commute";"Distance: 7,5 to 14 km";"10.53";"10.48";"10.51";"10.51";"10.75";"10.55";"10.57";"10.77";"10.53";"10.55";"10.61";"10.56";"26.36";"25.18";"25.36";"26.20";"29.89";"26.32";"26.82";"28.59";"29.81";"27.47";"29.96";"28.70"
"Travel to/from work, (non)-daily commute";"Distance: 15 to 29 km";"20.78";"20.70";"20.92";"20.56";"20.52";"20.89";"20.93";"20.58";"20.29";"20.44";"20.73";"20.56";"34.26";"32.41";"31.70";"33.46";"32.93";"32.70";"31.87";"32.58";"38.06";"36.22";"34.16";"38.52"
"Travel to/from work, (non)-daily commute";"Distance: 30 to 49 km";"37.43";"37.13";"37.09";"37.33";"37.91";"38.75";"37.51";"38.89";"37.32";"36.42";"37.35";"37.16";"46.94";"42.42";"41.58";"44.12";"47.71";"46.84";"44.73";"46.74";"52.53";"43.36";"45.13";"47.88"
"Travel to/from work, (non)-daily commute";"Distance: 50 to 74 km";"59.56";"59.82";"59.39";"59.49";"59.58";"59.49";"59.62";"59.98";"59.72";"60.25";"60.03";"59.15";"62.11";"58.73";"57.22";"61.39";"63.02";"54.92";"58.10";"62.59";"66.37";"64.56";"61.08";"67.25"
"Travel to/from work, (non)-daily commute";"Distance: 75 km or more";"106.84";"104.06";"107.24";"107.26";"98.33";"96.77";"96.89";"91.32";"105.97";"114.69";"104.28";"98.24";"96.24";"91.79";"94.91";"97.05";"85.43";"84.18";"83.07";"83.20";"111.80";"98.87";"114.97";"100.59"
"Travel to/from work, (non)-daily commute";"Sunday";"15.43";"13.16";"13.41";"13.24";".";"14.05";"18.93";"13.87";"14.80";"10.20";"16.45";"10.55";"26.07";"24.86";"23.46";"24.29";".";"26.41";"29.79";"28.48";"27.62";"26.40";"30.29";"24.54"
"Travel to/from work, (non)-daily commute";"Monday";"19.86";"16.39";"16.62";"18.17";"23.20";"17.20";"19.33";"20.13";"19.16";"16.24";"15.34";"16.68";"30.55";"26.36";"25.76";"28.52";"34.38";"29.83";"28.35";"29.54";"32.25";"27.90";"28.58";"31.58"
"Travel to/from work, (non)-daily commute";"Tuesday";"21.06";"18.11";"18.21";"18.46";"27.97";"22.07";"21.00";"20.45";"19.64";"16.80";"15.05";"16.63";"31.39";"26.68";"27.22";"29.26";"36.72";"29.52";"30.66";"31.07";"33.94";"28.93";"28.16";"30.93"
"Travel to/from work, (non)-daily commute";"Wednesday";"18.97";"18.34";"17.56";"18.88";"21.88";"19.61";"17.28";"19.23";"18.35";"16.73";"15.92";"17.20";"29.89";"27.99";"27.35";"29.23";"33.74";"28.25";"26.97";"29.77";"32.88";"28.01";"28.37";"31.41"
"Travel to/from work, (non)-daily commute";"Thursday";"20.33";"16.79";"16.98";"18.62";"23.57";"20.11";"19.30";"18.87";"17.41";"16.74";"14.14";"16.05";"30.57";"26.51";"26.07";"28.93";"35.17";"29.08";"29.22";"30.61";"31.99";"29.21";"27.16";"29.80"
"Travel to/from work, (non)-daily commute";"Friday";"17.95";"16.36";"15.57";"16.74";"19.29";"17.55";"16.68";"17.44";"16.65";"16.75";"15.48";"16.87";"29.37";"25.40";"25.17";"27.07";"29.55";"27.17";"26.71";"30.12";"32.04";"27.46";"26.98";"30.09"
"Travel to/from work, (non)-daily commute";"Saturday";"13.68";"10.77";"11.31";"11.01";"9.65";"11.14";"15.35";"12.98";"12.10";"11.49";"12.23";"12.16";"23.75";"20.24";"20.56";"19.76";"17.57";"19.46";"25.16";"20.47";"27.33";"23.66";"22.69";"22.25"
"Source: CBS"
